Kombinasi,Model,Imbalance,Accuracy,Precision,Recall,F1-Score,AUC-ROC,Training Time (s)
TabNet_NoHandling,TabNet,NoHandling,0.9775,0.9574468085106383,0.9045226130653267,0.9302325581395349,0.9572889422135653,188.1368453502655
MLP_ClassWeight,MLP,ClassWeight,0.9766666666666667,0.9523809523809523,0.9045226130653267,0.9278350515463918,0.9678010431779276,82.69276547431946
MLP_NoHandling,MLP,NoHandling,0.9758333333333333,0.9619565217391305,0.8894472361809045,0.9242819843342036,0.9715410217922781,88.44608354568481
MLP_SMOTE_ENN,MLP,SMOTE,0.9675,0.9,0.9045226130653267,0.9022556390977443,0.9689757478702202,56.809879302978516
TabNet_ClassWeight,TabNet,ClassWeight,0.9633333333333334,0.8743961352657005,0.9095477386934674,0.8916256157635468,0.9719576905506553,267.2027349472046
TabNet_SMOTE_ENN,TabNet,SMOTE,0.9441666666666667,0.7869565217391304,0.9095477386934674,0.8438228438228438,0.959211642628728,311.3647298812866
